# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
173             	4.39594538e-04	3.15567712e-03	4.04596961e-02	2.06694426e-02	1.97902535e-02
174             	4.27638760e-04	3.15187561e-03	4.04473662e-02	2.06513218e-02	1.97960443e-02
175             	4.16681933e-04	3.14859559e-03	4.04367667e-02	2.06350653e-02	1.98017014e-02
176             	4.03682033e-04	3.14438694e-03	4.04230600e-02	2.06152120e-02	1.98078480e-02
177             	3.94020024e-04	3.14162826e-03	4.04144416e-02	2.06012408e-02	1.98132008e-02
178             	3.82184525e-04	3.13790560e-03	4.04023793e-02	2.05833742e-02	1.98190051e-02
179             	3.70984225e-04	3.13449655e-03	4.03901477e-02	2.05660581e-02	1.98240896e-02
180             	3.59549818e-04	3.13100172e-03	4.03785109e-02	2.05488052e-02	1.98297056e-02
181             	3.47802928e-04	3.12735532e-03	4.03650735e-02	2.05303397e-02	1.98347338e-02
182             	3.36161207e-04	3.12377741e-03	4.03518862e-02	2.05121043e-02	1.98397819e-02
183             	3.25379344e-04	3.12055245e-03	4.03397808e-02	2.04952697e-02	1.98445110e-02
184             	3.13066484e-04	3.11668691e-03	4.03255996e-02	2.04758663e-02	1.98497333e-02
185             	3.01410044e-04	3.11305873e-03	4.03109728e-02	2.04568964e-02	1.98540764e-02
186             	2.89599851e-04	3.10939110e-03	4.02966727e-02	2.04379362e-02	1.98587365e-02
187             	2.77938916e-04	3.10576393e-03	4.02825093e-02	2.04191936e-02	1.98633157e-02
188             	2.66912435e-04	3.10240422e-03	4.02690557e-02	2.04014403e-02	1.98676154e-02
189             	2.55701874e-04	3.09893551e-03	4.02552336e-02	2.03833187e-02	1.98719150e-02
190             	2.45442504e-04	3.09597502e-03	4.02431370e-02	2.03670110e-02	1.98761260e-02
191             	2.34309612e-04	3.09252746e-03	4.02288589e-02	2.03487391e-02	1.98801199e-02
192             	2.23454628e-04	3.08928376e-03	4.02151006e-02	2.03310049e-02	1.98840957e-02
