# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
135             	1.88804491e-03	6.59634581e-03	3.81531989e-02	2.09646443e-02	1.71885545e-02
136             	2.37315315e-03	2.15815676e-03	4.53660070e-02	2.50561567e-02	2.03098503e-02
137             	1.42141790e-03	6.40185965e-03	3.76054503e-02	2.02241430e-02	1.73813072e-02
138             	2.79403380e-03	2.30960598e-03	4.59736940e-02	2.57808808e-02	2.01928132e-02
139             	9.31021783e-04	6.19348238e-03	3.77054430e-02	1.97837433e-02	1.79216997e-02
140             	3.24459363e-03	2.46731847e-03	4.59709250e-02	2.62300561e-02	1.97408689e-02
141             	6.53460333e-04	5.99841906e-03	3.77695676e-02	1.95382441e-02	1.82313234e-02
142             	3.23324748e-03	2.46974841e-03	4.55650146e-02	2.60157548e-02	1.95492598e-02
143             	6.07264560e-04	6.03544866e-03	3.82297727e-02	1.97221509e-02	1.85076218e-02
144             	3.02857196e-03	2.24580004e-03	4.53020186e-02	2.56795813e-02	1.96224374e-02
145             	8.43347530e-04	6.18325906e-03	3.83361805e-02	2.00114378e-02	1.83247427e-02
146             	2.87691007e-03	1.89772312e-03	4.55355328e-02	2.56446765e-02	1.98908563e-02
147             	1.02389854e-03	6.59770587e-03	3.79826744e-02	2.00152357e-02	1.79674387e-02
148             	2.72557674e-03	1.58854150e-03	4.57026417e-02	2.55768976e-02	2.01257441e-02
149             	9.97742233e-04	6.88885386e-03	3.79315499e-02	1.99635172e-02	1.79680327e-02
150             	2.71886831e-03	1.27151744e-03	4.57293770e-02	2.55835568e-02	2.01458202e-02
151             	9.00620444e-04	7.07772682e-03	3.80600144e-02	1.99306276e-02	1.81293867e-02
152             	2.96715335e-03	1.11241387e-03	4.56942590e-02	2.58142828e-02	1.98799761e-02
153             	6.13967440e-04	7.20396217e-03	3.80225543e-02	1.96252446e-02	1.83973097e-02
154             	3.29167774e-03	1.08939540e-03	4.61959944e-02	2.63896749e-02	1.98063195e-02
155             	2.32072421e-04	7.33968900e-03	3.78191146e-02	1.91416297e-02	1.86774849e-02
156             	3.64782520e-03	8.27713423e-04	4.71354215e-02	2.72155359e-02	1.99198856e-02
157             	7.89804702e-05	7.69463103e-03	3.71460830e-02	1.86520220e-02	1.84940610e-02
158             	3.83148103e-03	3.68080971e-04	4.80001580e-02	2.78315600e-02	2.01685979e-02
159             	-2.22502837e-04	8.06114944e-03	3.68529135e-02	1.82039539e-02	1.86489596e-02
160             	4.01283018e-03	8.81778399e-05	4.80279398e-02	2.80268001e-02	2.00011397e-02
161             	-2.38426568e-04	8.18448323e-03	3.70527507e-02	1.82879488e-02	1.87648019e-02
162             	3.97257782e-03	-3.74099986e-05	4.76787238e-02	2.78119397e-02	1.98667841e-02
163             	-3.01597243e-04	8.24248210e-03	3.74828151e-02	1.84398103e-02	1.90430048e-02
164             	4.02570377e-03	-4.01424354e-06	4.74707387e-02	2.77610731e-02	1.97096656e-02
165             	-2.97582691e-04	8.14149694e-03	3.73934959e-02	1.83991652e-02	1.89943306e-02
166             	3.99756113e-03	-4.15891588e-05	4.79035299e-02	2.79493261e-02	1.99542038e-02
167             	-4.22048972e-04	8.12763576e-03	3.69197860e-02	1.80378440e-02	1.88819419e-02
168             	4.14267022e-03	-1.11503889e-04	4.82158118e-02	2.82505761e-02	1.99652357e-02
169             	-5.16535063e-04	8.26211442e-03	3.64976358e-02	1.77322829e-02	1.87653530e-02
170             	4.32168317e-03	-1.18502596e-04	4.87576508e-02	2.87005086e-02	2.00571422e-02
171             	-7.47541075e-04	8.14981847e-03	3.64470554e-02	1.74759866e-02	1.89710688e-02
172             	4.53187582e-03	-5.71015350e-05	4.87926111e-02	2.89281814e-02	1.98644297e-02
173             	-8.06676166e-04	8.05191444e-03	3.66921335e-02	1.75393906e-02	1.91527429e-02
174             	4.49909507e-03	2.67264358e-05	4.86069501e-02	2.88025701e-02	1.98043800e-02
175             	-7.55555652e-04	8.04372026e-03	3.67133295e-02	1.76011091e-02	1.91122204e-02
176             	4.49926385e-03	-7.46922961e-06	4.86371936e-02	2.88178607e-02	1.98193330e-02
177             	-6.65857341e-04	8.24065322e-03	3.68477043e-02	1.77579948e-02	1.90897095e-02
178             	4.36460818e-03	-2.87149514e-04	4.87739733e-02	2.87515948e-02	2.00223785e-02
179             	-4.88737444e-04	8.52984493e-03	3.67644583e-02	1.78934917e-02	1.88709666e-02
180             	4.20944215e-03	-5.65332342e-04	4.88411197e-02	2.86300020e-02	2.02111177e-02
181             	-5.11135265e-04	8.77551768e-03	3.67773235e-02	1.78775265e-02	1.88997970e-02
182             	4.34073371e-03	-7.14830051e-04	4.91897889e-02	2.89356281e-02	2.02541607e-02
183             	-4.79977501e-04	8.99309758e-03	3.67727756e-02	1.79064103e-02	1.88663653e-02
184             	4.25638201e-03	-9.21524303e-04	4.91377643e-02	2.88252642e-02	2.03125001e-02
185             	-5.32303989e-04	9.09792114e-03	3.73145342e-02	1.81249631e-02	1.91895711e-02
186             	4.30938890e-03	-9.99025619e-04	4.88735018e-02	2.87461398e-02	2.01273620e-02
187             	-5.55442502e-04	9.40754952e-03	3.73795280e-02	1.81343215e-02	1.92452065e-02
188             	4.32906914e-03	-1.37384796e-03	4.90419609e-02	2.88500496e-02	2.01919113e-02
189             	-6.30997058e-04	9.56925251e-03	3.75696071e-02	1.81538065e-02	1.94158006e-02
190             	4.39840859e-03	-1.46412352e-03	4.91545728e-02	2.89756950e-02	2.01788778e-02
191             	-6.80353219e-04	9.69399179e-03	3.70499317e-02	1.78446126e-02	1.92053191e-02
192             	4.51148698e-03	-1.50912013e-03	4.93862055e-02	2.92045897e-02	2.01816158e-02
193             	-8.28397831e-04	9.55721592e-03	3.70854328e-02	1.77143186e-02	1.93711142e-02
194             	4.68290771e-03	-1.44532201e-03	4.98546352e-02	2.96102253e-02	2.02444099e-02
195             	-1.02057903e-03	9.38750787e-03	3.71540099e-02	1.75564259e-02	1.95975840e-02
196             	4.84855330e-03	-1.25877015e-03	4.96168528e-02	2.96569797e-02	1.99598731e-02
197             	-1.11931764e-03	9.28958543e-03	3.69039022e-02	1.73326335e-02	1.95712688e-02
198             	5.01856499e-03	-1.24129827e-03	5.00364002e-02	3.00367651e-02	1.99996351e-02
199             	-1.17871247e-03	9.19752092e-03	3.69076466e-02	1.72751108e-02	1.96325358e-02
200             	5.03687314e-03	-1.17610735e-03	5.01375829e-02	3.01056646e-02	2.00319183e-02
201             	-1.13317218e-03	9.14952811e-03	3.64116370e-02	1.70726463e-02	1.93389907e-02
202             	4.99282108e-03	-1.19744088e-03	4.99954485e-02	2.99905453e-02	2.00049032e-02
