# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
116             	1.40262330e-03	3.15881843e-03	4.76600855e-02	2.52326660e-02	2.24274194e-02
117             	1.40482745e-03	3.15833954e-03	4.77075338e-02	2.52585943e-02	2.24489394e-02
118             	1.40689777e-03	3.15774903e-03	4.77534117e-02	2.52836036e-02	2.24698081e-02
119             	1.40941664e-03	3.15735947e-03	4.78011577e-02	2.53099955e-02	2.24911622e-02
120             	1.41202795e-03	3.15697428e-03	4.78492591e-02	2.53366575e-02	2.25126016e-02
121             	1.41373921e-03	3.15622411e-03	4.78936963e-02	2.53605874e-02	2.25331090e-02
122             	1.41482461e-03	3.15524892e-03	4.79355190e-02	2.53825841e-02	2.25529349e-02
123             	1.41623290e-03	3.15443734e-03	4.79774251e-02	2.54049455e-02	2.25724797e-02
124             	1.41777665e-03	3.15367091e-03	4.80218048e-02	2.54286790e-02	2.25931257e-02
125             	1.41840732e-03	3.15248642e-03	4.80616469e-02	2.54492308e-02	2.26124161e-02
126             	1.41941443e-03	3.15158475e-03	4.81022805e-02	2.54705547e-02	2.26317258e-02
127             	1.42023080e-03	3.15053856e-03	4.81426903e-02	2.54915760e-02	2.26511144e-02
128             	1.42056175e-03	3.14924506e-03	4.81813024e-02	2.55112129e-02	2.26700894e-02
129             	1.42102403e-03	3.14805413e-03	4.82190295e-02	2.55305388e-02	2.26884907e-02
130             	1.42141037e-03	3.14678899e-03	4.82564762e-02	2.55496485e-02	2.27068277e-02
131             	1.42182535e-03	3.14550044e-03	4.82948072e-02	2.55692289e-02	2.27255782e-02
132             	1.42216649e-03	3.14418872e-03	4.83307518e-02	2.55875424e-02	2.27432094e-02
133             	1.42239350e-03	3.14289646e-03	4.83673609e-02	2.56060739e-02	2.27612870e-02
134             	1.42261568e-03	3.14156325e-03	4.84023978e-02	2.56238146e-02	2.27785832e-02
135             	1.42260470e-03	3.14022916e-03	4.84392404e-02	2.56422249e-02	2.27970155e-02
136             	1.42158949e-03	3.13832284e-03	4.84693223e-02	2.56562507e-02	2.28130717e-02
137             	1.42086386e-03	3.13675071e-03	4.85026559e-02	2.56721918e-02	2.28304641e-02
138             	1.42013623e-03	3.13504609e-03	4.85346847e-02	2.56874786e-02	2.28472061e-02
139             	1.41922352e-03	3.13332596e-03	4.85665090e-02	2.57024780e-02	2.28640310e-02
140             	1.41827353e-03	3.13159325e-03	4.85984128e-02	2.57174799e-02	2.28809329e-02
141             	1.41706858e-03	3.12976397e-03	4.86289172e-02	2.57315272e-02	2.28973900e-02
142             	1.41531616e-03	3.12774999e-03	4.86568334e-02	2.57437329e-02	2.29131005e-02
143             	1.41363804e-03	3.12582486e-03	4.86861904e-02	2.57567332e-02	2.29294571e-02
144             	1.41168240e-03	3.12373464e-03	4.87144539e-02	2.57689093e-02	2.29455445e-02
145             	1.40946156e-03	3.12150935e-03	4.87401528e-02	2.57795380e-02	2.29606149e-02
146             	1.40698291e-03	3.11926474e-03	4.87663473e-02	2.57901566e-02	2.29761908e-02
147             	1.40425938e-03	3.11691918e-03	4.87916103e-02	2.58000645e-02	2.29915458e-02
148             	1.40148311e-03	3.11452644e-03	4.88163940e-02	2.58096801e-02	2.30067139e-02
149             	1.39823465e-03	3.11196796e-03	4.88396944e-02	2.58180818e-02	2.30216125e-02
150             	1.39463906e-03	3.10927641e-03	4.88618980e-02	2.58255880e-02	2.30363099e-02
151             	1.39105499e-03	3.10660854e-03	4.88833390e-02	2.58327245e-02	2.30506145e-02
152             	1.38750077e-03	3.10394310e-03	4.89045426e-02	2.58397721e-02	2.30647705e-02
153             	1.38366680e-03	3.10116278e-03	4.89254811e-02	2.58464073e-02	2.30790737e-02
154             	1.37993565e-03	3.09841073e-03	4.89456861e-02	2.58527787e-02	2.30929074e-02
155             	1.37614997e-03	3.09565651e-03	4.89656696e-02	2.58589848e-02	2.31066848e-02
156             	1.37226869e-03	3.09286335e-03	4.89844782e-02	2.58645078e-02	2.31199704e-02
157             	1.36838743e-03	3.09006953e-03	4.90029730e-02	2.58698739e-02	2.31330990e-02
158             	1.36384374e-03	3.08703557e-03	4.90203920e-02	2.58740397e-02	2.31463522e-02
159             	1.35988833e-03	3.08419708e-03	4.90375037e-02	2.58786402e-02	2.31588635e-02
160             	1.35549265e-03	3.08121840e-03	4.90542831e-02	2.58826342e-02	2.31716489e-02
161             	1.35120756e-03	3.07828305e-03	4.90716954e-02	2.58870552e-02	2.31846401e-02
162             	1.34745658e-03	3.07552295e-03	4.90880849e-02	2.58914990e-02	2.31965859e-02
163             	1.34370095e-03	3.07283789e-03	4.91042289e-02	2.58958154e-02	2.32084135e-02
164             	1.33929218e-03	3.06986490e-03	4.91195462e-02	2.58990653e-02	2.32204809e-02
165             	1.33492260e-03	3.06688371e-03	4.91339984e-02	2.59019218e-02	2.32320766e-02
166             	1.33059987e-03	3.06394609e-03	4.91487855e-02	2.59049926e-02	2.32437929e-02
167             	1.32670553e-03	3.06124877e-03	4.91634420e-02	2.59084266e-02	2.32550155e-02
168             	1.32247115e-03	3.05834973e-03	4.91770286e-02	2.59109854e-02	2.32660431e-02
169             	1.31837307e-03	3.05550004e-03	4.91907326e-02	2.59137394e-02	2.32769932e-02
170             	1.31421711e-03	3.05264753e-03	4.92039062e-02	2.59161702e-02	2.32877360e-02
171             	1.31039988e-03	3.04995404e-03	4.92178627e-02	2.59193312e-02	2.32985314e-02
172             	1.30612675e-03	3.04707069e-03	4.92306971e-02	2.59214753e-02	2.33092218e-02
173             	1.30238231e-03	3.04441735e-03	4.92439759e-02	2.59243702e-02	2.33196056e-02
174             	1.29822530e-03	3.04159335e-03	4.92560603e-02	2.59262554e-02	2.33298048e-02
175             	1.29470660e-03	3.03903791e-03	4.92684294e-02	2.59289213e-02	2.33395081e-02
176             	1.29040949e-03	3.03625015e-03	4.92794895e-02	2.59301542e-02	2.33493353e-02
177             	1.28691597e-03	3.03369734e-03	4.92920834e-02	2.59329577e-02	2.33591258e-02
178             	1.28208251e-03	3.03064221e-03	4.93009710e-02	2.59325680e-02	2.33684030e-02
179             	1.27849651e-03	3.02814454e-03	4.93117844e-02	2.59343887e-02	2.33773957e-02
180             	1.27400411e-03	3.02524463e-03	4.93207023e-02	2.59343553e-02	2.33863470e-02
181             	1.26971729e-03	3.02237313e-03	4.93296793e-02	2.59345569e-02	2.33951223e-02
182             	1.26583386e-03	3.01971663e-03	4.93393618e-02	2.59355147e-02	2.34038470e-02
183             	1.26200564e-03	3.01710422e-03	4.93486376e-02	2.59363244e-02	2.34123132e-02
184             	1.25816419e-03	3.01451305e-03	4.93580108e-02	2.59371696e-02	2.34208412e-02
185             	1.25422030e-03	3.01188998e-03	4.93664717e-02	2.59374561e-02	2.34290155e-02
186             	1.25014377e-03	3.00922914e-03	4.93739377e-02	2.59371126e-02	2.34368251e-02
187             	1.24636094e-03	3.00668856e-03	4.93823337e-02	2.59375278e-02	2.34448059e-02
188             	1.24219346e-03	3.00404076e-03	4.93886395e-02	2.59365132e-02	2.34521263e-02
